발주번호,수주번호,기자재명,공급사,발주일,납품예정일,실제납품일,납품지연일수,금액_백만원
EQ-2025-0027,MPO-2025-126,밸러스트수 처리장치,남광테크,2025-07-07,2025-10-12,2025-10-29,17,349
EQ-2025-0030,MPO-2025-014,화물창 단열재,한빛기계,2025-07-13,2025-09-23,2025-11-28,66,1114
EQ-2025-0028,MPO-2025-117,밸러스트수 처리장치,대성중공업,2025-07-17,2025-11-13,2025-12-13,30,515
EQ-2025-0095,MPO-2025-092,프로펠러,제일엔지니어링,2025-07-17,2025-11-28,2025-11-29,1,1571
EQ-2025-0026,MPO-2025-126,밸러스트수 처리장치,대성중공업,2025-07-30,2025-12-31,2026-03-03,62,281
EQ-2025-0029,MPO-2025-014,선실 모듈,오리엔트마린,2025-07-31,2026-01-04,2026-01-29,25,611
EQ-2025-0034,MPO-2025-047,밸러스트수 처리장치,남광테크,2025-08-30,2026-01-17,2026-02-22,36,1386
EQ-2025-0043,MPO-2025-013,도료,오리엔트마린,2025-09-03,2025-12-29,2026-01-04,6,1080
EQ-2025-0080,MPO-2025-113,프로펠러,대성중공업,2025-09-05,2026-02-07,2026-02-13,6,622
EQ-2025-0083,MPO-2025-011,발전기,대성중공업,2025-09-07,2026-01-05,2026-01-05,0,91
EQ-2025-0084,MPO-2025-011,발전기,남광테크,2025-09-08,2026-02-12,2026-02-12,0,1605
EQ-2025-0093,MPO-2025-136,배관 모듈,서해정밀,2025-09-24,2025-12-25,2025-12-29,4,2015
EQ-2025-0092,MPO-2025-136,도료,한빛기계,2025-09-25,2025-12-14,2025-12-27,13,1818
EQ-2025-0055,MPO-2025-107,프로펠러,한빛기계,2025-09-27,2026-01-18,2026-01-19,1,1786
EQ-2025-0086,MPO-2025-056,발전기,한빛기계,2025-10-03,2026-01-02,2026-01-02,0,2073
EQ-2025-0085,MPO-2025-056,화물창 단열재,대성중공업,2025-10-04,2026-01-07,2026-01-11,4,1503
EQ-2025-0101,MPO-2025-084,선실 모듈,제일엔지니어링,2025-10-10,2026-03-08,2026-03-09,1,2116
EQ-2025-0089,MPO-2025-083,항해통신장비,대성중공업,2025-10-12,2026-02-21,2026-03-04,11,1321
EQ-2025-0038,MPO-2025-001,화물창 단열재,서해정밀,2025-10-13,2026-02-07,2026-02-07,0,2390
EQ-2025-0100,MPO-2025-084,배관 모듈,대성중공업,2025-10-13,2026-02-18,2026-02-24,6,1610
EQ-2025-0090,MPO-2025-133,도료,제일엔지니어링,2025-10-16,2026-01-11,2026-01-27,16,647
EQ-2025-0035,MPO-2025-047,주기관,제일엔지니어링,2025-10-19,2026-01-06,2026-02-02,27,2383
EQ-2025-0039,MPO-2025-001,화물창 단열재,한빛기계,2025-10-19,2026-01-18,2026-01-18,0,824
EQ-2025-0031,MPO-2025-098,발전기,남광테크,2025-10-30,2026-03-06,2026-04-14,39,1004
EQ-2025-0056,MPO-2025-107,항해통신장비,오리엔트마린,2025-11-03,2026-02-18,2026-03-01,11,1543
EQ-2025-0032,MPO-2025-098,항해통신장비,제일엔지니어링,2025-11-12,2026-03-04,2026-03-18,14,2187
EQ-2025-0036,MPO-2025-031,화물창 단열재,남광테크,2025-11-24,2026-03-30,2026-06-11,73,1184
EQ-2025-0033,MPO-2025-104,도료,남광테크,2025-11-25,2026-02-13,2026-04-11,57,637
EQ-2025-0069,MPO-2025-004,프로펠러,대성중공업,2025-11-25,2026-02-17,2026-02-17,0,2184
EQ-2025-0091,MPO-2025-133,프로펠러,한빛기계,2025-11-26,2026-04-15,2026-04-17,2,884
EQ-2025-0108,MPO-2025-100,프로펠러,오리엔트마린,2025-11-27,2026-02-21,2026-02-21,0,210
EQ-2025-0067,MPO-2025-140,프로펠러,오리엔트마린,2025-12-04,2026-02-18,2026-02-18,0,2044
EQ-2025-0070,MPO-2025-004,도료,남광테크,2025-12-22,2026-05-20,2026-05-27,7,755
EQ-2025-0052,MPO-2025-095,밸러스트수 처리장치,오리엔트마린,2025-12-24,2026-04-28,2026-05-01,3,2376
EQ-2025-0037,MPO-2025-130,프로펠러,제일엔지니어링,2025-12-30,2026-03-23,2026-05-06,44,2001
EQ-2026-0074,MPO-2025-105,항해통신장비,대성중공업,2026-01-08,2026-05-26,2026-06-01,6,1352
EQ-2026-0102,MPO-2025-116,밸러스트수 처리장치,제일엔지니어링,2026-01-13,2026-05-29,2026-05-29,0,217
EQ-2026-0041,MPO-2025-054,밸러스트수 처리장치,한빛기계,2026-01-22,2026-07-01,2026-07-12,11,704
EQ-2026-0068,MPO-2025-069,선실 모듈,한빛기계,2026-02-01,2026-04-17,2026-04-20,3,521
EQ-2026-0103,MPO-2025-116,발전기,서해정밀,2026-02-03,2026-06-21,2026-06-27,6,839
EQ-2026-0077,MPO-2025-114,배관 모듈,한빛기계,2026-02-09,2026-06-23,2026-06-26,3,1253
EQ-2026-0075,MPO-2025-105,배관 모듈,한빛기계,2026-02-13,2026-06-14,2026-06-14,0,2229
EQ-2026-0110,MPO-2025-121,화물창 단열재,대성중공업,2026-02-20,2026-05-18,2026-05-18,0,486
EQ-2026-0109,MPO-2025-029,화물창 단열재,오리엔트마린,2026-02-23,2026-07-14,2026-07-14,0,788
EQ-2026-0045,MPO-2025-137,항해통신장비,오리엔트마린,2026-03-04,2026-07-03,2026-07-10,7,91
EQ-2026-0078,MPO-2025-012,도료,한빛기계,2026-03-06,2026-08-04,2026-08-05,1,220
EQ-2026-0104,MPO-2025-065,항해통신장비,제일엔지니어링,2026-03-06,2026-05-30,2026-05-30,0,2260
EQ-2026-0040,MPO-2025-054,배관 모듈,한빛기계,2026-03-09,2026-06-24,2026-07-02,8,1946
EQ-2026-0049,MPO-2025-070,화물창 단열재,대성중공업,2026-03-09,2026-06-09,2026-06-09,0,1780
EQ-2026-0079,MPO-2025-012,프로펠러,서해정밀,2026-03-09,2026-06-02,2026-06-02,0,2145
EQ-2026-0048,MPO-2025-070,발전기,제일엔지니어링,2026-03-16,2026-06-20,2026-06-23,3,728
EQ-2026-0105,MPO-2025-065,발전기,오리엔트마린,2026-04-01,2026-09-01,2026-09-01,0,677
EQ-2026-0044,MPO-2025-025,도료,남광테크,2026-05-16,2026-08-16,2026-08-20,4,1930
