수주번호,선종,발주지역,선주사,재화중량톤_DWT,계약금액_백만원,건조야드,계약일,착공일,진수일,인도예정일,실제인도일,지연일수,지연사유
MPO-2025-083,LNG운반선,중국,이스트게이트 쉬핑,162740,475040,해남 협력야드,2025-04-28,2025-08-23,2026-04-07,2026-07-05,2026-07-05,0,
MPO-2025-056,초대형원유운반선,중국,사우스케이프 마린,307378,452630,목포 1야드,2025-05-14,2025-09-17,2026-07-19,2026-11-15,,,
MPO-2025-104,LNG운반선,대한민국,블루앵커 해운,169415,407930,영암 도크,2025-05-15,2025-09-26,2026-05-20,2026-08-20,2026-08-25,5,기자재 납품 지연
MPO-2025-113,석유화학제품운반선,독일,블루앵커 해운,35961,27170,목포 2야드,2025-05-16,2025-08-04,2026-01-07,2026-03-10,2026-03-10,0,
MPO-2025-108,컨테이너선,대한민국,블루앵커 해운,12609,11960,영암 도크,2025-05-19,2025-10-09,2026-04-08,2026-06-18,2026-06-18,0,
MPO-2025-047,자동차운반선,중국,사우스케이프 마린,20634,24590,목포 1야드,2025-05-22,2025-08-25,2026-02-13,2026-04-21,2026-04-22,1,기자재 납품 지연
MPO-2025-011,컨테이너선,아랍에미리트,한려 상선,8000,6990,영암 도크,2025-05-26,2025-08-21,2026-01-04,2026-02-26,2026-03-11,13,선주 요청 변경
MPO-2025-001,컨테이너선,미국,그린웨이브 마린,12065,12080,목포 2야드,2025-06-06,2025-10-06,2026-03-01,2026-04-27,2026-05-24,27,기상 악화
MPO-2025-004,초대형원유운반선,덴마크,퍼시픽 캐리어,314026,415410,목포 2야드,2025-06-10,2025-10-28,2026-08-06,2026-11-24,,,
MPO-2025-052,벌크선,아랍에미리트,블루앵커 해운,161156,115380,영암 도크,2025-06-10,2025-10-05,2026-04-24,2026-07-12,2026-07-13,1,설계 변경
MPO-2025-133,컨테이너선,대한민국,그린웨이브 마린,10789,9610,영암 도크,2025-06-17,2025-09-29,2026-03-15,2026-05-20,2026-05-20,0,
MPO-2025-107,벌크선,독일,오션스타 해운,45459,36130,목포 2야드,2025-06-19,2025-09-20,2026-03-11,2026-05-18,2026-05-18,0,
MPO-2025-100,벌크선,노르웨이,대양 상선,44095,34510,목포 1야드,2025-06-29,2025-10-13,2026-03-28,2026-06-01,2026-06-01,0,
MPO-2025-134,컨테이너선,싱가포르,북유럽 탱커스,16307,14080,목포 1야드,2025-07-15,2025-10-30,2026-03-25,2026-05-22,2026-05-22,0,
MPO-2025-095,컨테이너선,미국,오션스타 해운,20678,20980,목포 1야드,2025-07-19,2025-12-01,2026-05-22,2026-07-29,2026-07-29,0,
MPO-2025-031,컨테이너선,노르웨이,그린웨이브 마린,21284,17590,영암 도크,2025-07-25,2025-10-31,2026-04-04,2026-06-04,2026-06-07,3,기자재 납품 지연
MPO-2025-130,자동차운반선,그리스,사우스케이프 마린,24391,30460,목포 2야드,2025-08-05,2025-11-04,2026-04-15,2026-06-18,2026-07-02,14,기자재 납품 지연
MPO-2025-090,벌크선,대한민국,오션스타 해운,156851,109050,목포 2야드,2025-08-06,2025-10-14,2026-06-16,2026-09-20,,,
MPO-2025-091,자동차운반선,미국,사우스케이프 마린,27349,31950,해남 협력야드,2025-08-11,2025-12-11,2026-05-12,2026-07-11,2026-07-15,4,기상 악화
MPO-2025-116,자동차운반선,대한민국,북유럽 탱커스,31927,36600,해남 협력야드,2025-08-12,2025-12-05,2026-05-18,2026-07-21,2026-07-21,0,
MPO-2025-121,LPG운반선,일본,그린웨이브 마린,68238,85570,목포 2야드,2025-08-26,2026-01-15,2026-07-05,2026-09-10,,,
MPO-2025-114,자동차운반선,미국,그린웨이브 마린,20303,25930,영암 도크,2025-08-30,2026-01-18,2026-06-13,2026-08-10,2026-08-10,0,
MPO-2025-069,초대형원유운반선,덴마크,한려 상선,307959,431520,목포 2야드,2025-09-01,2025-12-11,2026-09-06,2026-12-20,,,
MPO-2025-140,컨테이너선,덴마크,한려 상선,16541,13700,영암 도크,2025-09-03,2025-11-02,2026-04-25,2026-07-02,2026-07-14,12,설계 변경
MPO-2025-094,초대형원유운반선,미국,이스트게이트 쉬핑,283252,397520,해남 협력야드,2025-09-05,2025-11-14,2026-09-01,2026-12-24,,,
MPO-2025-054,초대형원유운반선,아랍에미리트,사우스케이프 마린,305081,436110,해남 협력야드,2025-09-07,2026-01-08,2026-11-02,2027-02-26,,,
MPO-2025-122,컨테이너선,미국,북유럽 탱커스,8107,8250,해남 협력야드,2025-09-07,2025-11-16,2026-04-21,2026-06-22,2026-06-22,0,
MPO-2025-070,벌크선,대한민국,이스트게이트 쉬핑,82535,65820,영암 도크,2025-09-15,2026-01-18,2026-07-30,2026-10-14,,,
MPO-2025-137,컨테이너선,그리스,그린웨이브 마린,14424,13140,목포 2야드,2025-09-20,2026-02-08,2026-07-23,2026-09-26,,,
MPO-2025-131,벌크선,그리스,블루앵커 해운,56988,35990,목포 2야드,2025-09-22,2026-01-14,2026-07-05,2026-09-10,,,
MPO-2025-009,초대형원유운반선,싱가포르,북유럽 탱커스,290846,427030,목포 2야드,2025-09-23,2025-11-28,2026-09-22,2027-01-16,,,
MPO-2025-022,초대형원유운반선,노르웨이,북유럽 탱커스,317569,446920,해남 협력야드,2025-09-23,2026-02-01,2026-11-16,2027-03-08,,,
MPO-2025-093,자동차운반선,싱가포르,블루앵커 해운,27572,29910,목포 1야드,2025-09-24,2026-02-17,2026-07-18,2026-09-16,,,
MPO-2025-078,LPG운반선,일본,노르드윈드 라인,48786,49920,목포 1야드,2025-09-27,2025-12-29,2026-06-18,2026-08-24,2026-08-24,0,
MPO-2025-106,벌크선,덴마크,한려 상선,100865,76520,목포 1야드,2025-10-01,2026-02-13,2026-09-19,2026-12-13,,,
MPO-2025-012,벌크선,독일,대양 상선,46680,34960,해남 협력야드,2025-10-03,2026-02-05,2026-08-18,2026-11-02,,,
MPO-2025-029,자동차운반선,노르웨이,이스트게이트 쉬핑,30464,33070,목포 2야드,2025-10-20,2026-01-10,2026-07-09,2026-09-18,,,
MPO-2025-109,LPG운반선,대한민국,퍼시픽 캐리어,64222,72930,목포 1야드,2025-10-20,2026-01-20,2026-07-13,2026-09-19,,,
MPO-2025-110,LNG운반선,덴마크,사우스케이프 마린,155957,437670,목포 1야드,2025-10-22,2026-03-08,2026-09-27,2026-12-16,,,
MPO-2025-019,벌크선,미국,그린웨이브 마린,120219,90470,목포 1야드,2025-10-29,2025-12-31,2026-07-27,2026-10-17,,,
MPO-2025-025,컨테이너선,싱가포르,한려 상선,12122,11590,영암 도크,2025-10-31,2026-03-27,2026-09-28,2026-12-09,,,
MPO-2025-105,벌크선,싱가포르,퍼시픽 캐리어,74825,50500,목포 1야드,2025-11-02,2026-01-01,2026-06-21,2026-08-27,2026-08-27,0,
MPO-2025-008,석유화학제품운반선,노르웨이,이스트게이트 쉬핑,14056,12010,목포 2야드,2025-11-10,2026-03-13,2026-08-27,2026-11-01,,,
MPO-2025-065,컨테이너선,중국,퍼시픽 캐리어,20154,19490,목포 1야드,2025-11-11,2026-02-25,2026-08-21,2026-10-29,,,
MPO-2025-041,컨테이너선,싱가포르,블루앵커 해운,13271,11040,목포 1야드,2025-11-15,2026-03-21,2026-08-31,2026-11-03,,,
MPO-2025-085,벌크선,덴마크,그린웨이브 마린,57290,40680,목포 2야드,2025-11-19,2026-02-23,2026-09-05,2026-11-20,,,
MPO-2025-007,컨테이너선,노르웨이,퍼시픽 캐리어,16327,16470,해남 협력야드,2025-11-27,2026-04-07,2026-10-06,2026-12-17,,,
MPO-2025-043,벌크선,독일,이스트게이트 쉬핑,149681,117890,영암 도크,2025-11-29,2026-02-20,2026-09-04,2026-11-20,,,
MPO-2025-123,벌크선,일본,노르드윈드 라인,154977,109920,목포 1야드,2025-12-01,2026-03-21,2026-10-18,2027-01-09,,,
